,ID,Result
2117,2018_1347_1254,1
2118,2018_1382_1417,1
2119,2018_1393_1113,1
2120,2018_1411_1300,1
2121,2018_1104_1439,1
2122,2018_1138_1112,1
2123,2018_1181_1233,1
2124,2018_1196_1382,1
2125,2018_1211_1422,1
2126,2018_1222_1361,1
2127,2018_1242_1335,1
2128,2018_1246_1172,1
2129,2018_1260_1274,1
2130,2018_1276_1285,1
2131,2018_1326_1355,1
2132,2018_1348_1328,1
2133,2018_1371_1301,1
2134,2018_1397_1460,1
2135,2018_1403_1372,1
2136,2018_1437_1347,1
2137,2018_1120_1158,1
2138,2018_1139_1116,1
2139,2018_1153_1209,1
2140,2018_1155_1308,1
2141,2018_1199_1281,1
2142,2018_1243_1166,1
2143,2018_1267_1455,1
2144,2018_1277_1137,1
2145,2018_1305_1400,1
2146,2018_1314_1252,1
2147,2018_1345_1168,1
2148,2018_1393_1395,1
2149,2018_1401_1344,1
2150,2018_1420_1438,1
2151,2018_1452_1293,1
2152,2018_1462_1411,1
2153,2018_1181_1348,1
2154,2018_1211_1326,1
2155,2018_1242_1371,1
2156,2018_1246_1138,1
2157,2018_1260_1397,1
2158,2018_1276_1222,1
2159,2018_1403_1196,1
2160,2018_1437_1104,1
2161,2018_1155_1120,1
2162,2018_1199_1462,1
2163,2018_1243_1420,1
2164,2018_1305_1153,1
2165,2018_1345_1139,1
2166,2018_1393_1277,1
2167,2018_1401_1314,1
2168,2018_1452_1267,1
2169,2018_1199_1211,1
2170,2018_1243_1246,1
2171,2018_1260_1305,1
2172,2018_1276_1401,1
2173,2018_1181_1393,1
2174,2018_1242_1155,1
2175,2018_1403_1345,1
2176,2018_1437_1452,1
2177,2018_1260_1243,1
2178,2018_1276_1199,1
2179,2018_1242_1181,1
2180,2018_1437_1403,1
2181,2018_1276_1260,1
2182,2018_1437_1242,1
2183,2018_1437_1276,1
2184,2019_1125_1396,1
2185,2019_1192_1341,1
2186,2019_1113_1385,1
2187,2019_1295_1300,1
2188,2019_1120_1308,1
2189,2019_1124_1393,1
2190,2019_1196_1305,1
2191,2019_1199_1436,1
2192,2019_1211_1192,1
2193,2019_1242_1318,1
2194,2019_1246_1101,1
2195,2019_1261_1463,1
2196,2019_1268_1125,1
2197,2019_1276_1285,1
2198,2019_1277_1133,1
2199,2019_1278_1257,1
2200,2019_1293_1266,1
2201,2019_1345_1330,1
2202,2019_1437_1388,1
2203,2019_1459_1371,1
2204,2019_1138_1113,1
2205,2019_1181_1295,1
2206,2019_1222_1209,1
2207,2019_1234_1153,1
2208,2019_1251_1280,1
2209,2019_1314_1233,1
2210,2019_1326_1235,1
2211,2019_1328_1279,1
2212,2019_1332_1458,1
2213,2019_1397_1159,1
2214,2019_1403_1297,1
2215,2019_1414_1243,1
2216,2019_1416_1433,1
